meal_name,Carbs,Proteins,Fats,Calories,Meal_Time,p_ratio,c_ratio,f_ratio,Food_Cluster,Meal_Plan
blueberry pie,49.2,4.0,17.5,360.0,Breakfast,0.056577086280056574,0.695898161244696,0.24752475247524752,4,Endurance
yellow cake with vanilla frosting,37.6,2.2,9.3,239.0,Breakfast,0.04480651731160896,0.7657841140529531,0.18940936863543786,1,HIIT
pie crust,10.9,1.5,8.0,121.0,Snack,0.07352941176470588,0.5343137254901962,0.3921568627450981,4,Endurance
chocolate cake with chocolate frosting,72.9,4.8,27.7,537.0,Snack,0.04554079696394687,0.6916508538899431,0.26280834914611,4,Endurance
cheese coffeecake,33.7,5.3,11.6,258.0,Breakfast,0.10474308300395256,0.66600790513834,0.2292490118577075,4,Endurance
vanilla cream pie,41.1,6.0,18.1,350.0,Breakfast,0.09202453987730061,0.6303680981595092,0.2776073619631902,4,Endurance
pineapple cake,58.1,4.0,13.9,367.0,Snack,0.05263157894736842,0.7644736842105263,0.18289473684210528,1,HIIT
peach pie,38.5,2.2,11.7,262.0,Breakfast,0.04198473282442748,0.7347328244274809,0.22328244274809156,4,Endurance
fruit coffeecake,25.8,2.6,5.1,156.0,Breakfast,0.07761194029850746,0.7701492537313434,0.15223880597014924,1,HIIT
pound cake,14.6,1.7,6.0,116.0,Snack,0.07623318385650224,0.6547085201793722,0.26905829596412556,4,Endurance
pound cake bread,28.2,3.9,9.6,215.0,Snack,0.0935251798561151,0.6762589928057553,0.23021582733812948,4,Endurance
white cake,42.3,4.0,9.2,264.0,Breakfast,0.07207207207207207,0.7621621621621621,0.16576576576576577,1,HIIT
coffeecake with chocolate frosting,48.4,4.5,9.7,298.0,Breakfast,0.07188498402555911,0.7731629392971247,0.1549520766773163,1,HIIT
baked apple pie mcdonalds,12.3,0.9,4.4,91.0,Snack,0.05113636363636363,0.6988636363636364,0.25,4,Endurance
sponge cake,36.4,4.6,2.7,187.0,Breakfast,0.10526315789473682,0.8329519450800914,0.06178489702517163,1,HIIT
yellow cake,36.0,3.6,9.9,245.0,Breakfast,0.07272727272727272,0.7272727272727273,0.2,1,HIIT
shortcake,13.7,1.7,4.0,98.0,Snack,0.08762886597938145,0.7061855670103093,0.2061855670103093,4,Endurance
cherry pie,69.3,5.0,22.0,486.0,Breakfast,0.05192107995846314,0.719626168224299,0.22845275181723781,4,Endurance
dutch apple pie,61.0,3.0,15.8,397.0,Snack,0.03759398496240601,0.7644110275689223,0.1979949874686717,1,HIIT
chocolate cake,50.7,5.0,14.3,352.0,Snack,0.07142857142857142,0.7242857142857143,0.2042857142857143,4,Endurance
marshmallow,16.3,0.4,0.033,64.0,Snack,0.02390485866252316,0.9741229904978187,0.0019721508396581605,1,HIIT
sugar apple,18.2,1.6,0.2,72.0,Snack,0.08,0.9099999999999999,0.01,1,HIIT
toffee,7.8,0.1,3.9,67.0,Snack,0.008474576271186442,0.6610169491525424,0.3305084745762712,4,Endurance
vanilla fudge with nuts,21.1,0.8,3.9,123.0,Snack,0.031007751937984496,0.8178294573643411,0.1511627906976744,1,HIIT
caramel with nuts chocolate coated,8.5,1.3,2.9,66.0,Snack,0.10236220472440945,0.6692913385826771,0.22834645669291337,4,Endurance
gingerbread,36.4,2.9,12.1,263.0,Breakfast,0.05642023346303502,0.708171206225681,0.23540856031128404,4,Endurance
vanilla fudge,23.2,0.3,1.5,108.0,Snack,0.012,0.9279999999999999,0.06,1,HIIT
halavah,42.3,8.7,15.1,328.0,Breakfast,0.13161875945537066,0.6399394856278366,0.22844175491679275,4,Endurance
praline,23.2,1.3,10.1,189.0,Snack,0.03757225433526012,0.6705202312138728,0.29190751445086704,4,Endurance
fruit juice bar,15.6,0.9,0.089,67.0,Snack,0.054252818132497445,0.940382180963289,0.005365000904213635,1,HIIT
peanut brittle,20.2,2.1,5.4,138.0,Snack,0.07581227436823104,0.7292418772563176,0.19494584837545126,1,HIIT
chocolate coffee beans,15.6,2.1,9.4,155.0,Breakfast,0.07749077490774908,0.5756457564575646,0.34686346863468637,4,Endurance
nougat with almonds,12.9,0.5,0.2,56.0,Snack,0.03676470588235294,0.948529411764706,0.014705882352941178,1,HIIT
carob,14.1,2.0,7.8,135.0,Snack,0.08368200836820083,0.5899581589958158,0.3263598326359832,4,Endurance
peanut butter fudge,12.4,0.6,1.1,62.0,Snack,0.0425531914893617,0.8794326241134752,0.07801418439716312,1,HIIT
chocolate coated marshmallow,19.0,1.1,4.7,118.0,Snack,0.04435483870967742,0.7661290322580645,0.18951612903225806,1,HIIT
raisins chocolate coated,68.4,4.1,14.8,390.0,Snack,0.046964490263459335,0.7835051546391754,0.16953035509736541,1,HIIT
chocolate syrup,25.4,0.8,0.4,109.0,Snack,0.030075187969924817,0.9548872180451128,0.015037593984962409,1,HIIT
chocolate fudge syrup,12.0,0.9,1.7,67.0,Snack,0.06164383561643836,0.8219178082191781,0.11643835616438356,1,HIIT
m ms milk chocolate mars,29.9,1.8,8.9,207.0,Snack,0.04433497536945813,0.7364532019704433,0.21921182266009853,4,Endurance
milk chocolate with almonds,21.9,3.7,14.1,216.0,Snack,0.09319899244332495,0.5516372795969774,0.35516372795969775,4,Endurance
chocolate fudge,13.0,0.4,1.8,70.0,Snack,0.02631578947368421,0.8552631578947368,0.11842105263157894,1,HIIT
m ms peanut chocolate mars,10.9,1.7,4.7,93.0,Snack,0.09826589595375722,0.630057803468208,0.27167630057803466,4,Endurance
dark chocolate,18.0,1.5,9.7,165.0,Snack,0.051369863013698634,0.6164383561643836,0.3321917808219178,4,Endurance
chocolate semisweet,107.4,7.1,50.4,806.0,Snack,0.0430563978168587,0.6513038204972711,0.3056397816858702,4,Endurance
white chocolate,17.8,1.8,9.6,162.0,Snack,0.06164383561643835,0.6095890410958904,0.3287671232876712,4,Endurance
chocolate,24.8,1.6,14.0,208.0,Snack,0.0396039603960396,0.6138613861386137,0.3465346534653465,4,Endurance
